brand,topic,sentiment,text,date,month,source,likes,shares
Dior,inflation,positif,There impact next serious recognize. Dior inflation Here hospital.,2025-06-14,2025-06,TikTok,733,216
Dior,collab,négatif,Later anything purpose. Dior collab Save four window again.,2025-01-08,2025-01,TikTok,234,251
Dior,green fashion,neutre,Clearly way his feeling yes. Dior green fashion Mrs statement outside.,2025-02-21,2025-02,Instagram,4637,811
Louis Vuitton,collab,positif,That her sort. Louis Vuitton collab Do series little.,2025-05-15,2025-05,TikTok,4218,126
Chanel,inflation,neutre,More benefit. Chanel inflation Across success discover president.,2025-01-02,2025-01,Instagram,4664,994
Chanel,influenceurs,positif,Soldier season standard sea. Chanel influenceurs Serious picture.,2025-03-17,2025-03,Instagram,2058,217
Louis Vuitton,inflation,négatif,Door structure authority. Louis Vuitton inflation Arrive garden them social fund.,2025-05-08,2025-05,TikTok,4759,306
Dior,nouvelle collection,négatif,Fight stock world. Dior nouvelle collection Form send ten possible.,2025-01-08,2025-01,TikTok,4425,797
Gucci,défilé,positif,Old how letter four. Gucci défilé But try.,2025-02-21,2025-02,TikTok,1583,185
Gucci,inflation,neutre,Away provide. Gucci inflation Out study chair.,2025-02-08,2025-02,TikTok,1838,39
Louis Vuitton,durabilité,neutre,No Congress where seek. Louis Vuitton durabilité Arrive record behind sing.,2025-05-28,2025-05,TikTok,1927,223
Gucci,inflation,positif,Learn against prove right garden. Gucci inflation Interview box man interview.,2025-03-21,2025-03,TikTok,4244,184
Dior,green fashion,négatif,Call value newspaper tax. Dior green fashion Letter child.,2025-05-24,2025-05,TikTok,2036,495
Gucci,nouvelle collection,neutre,Dinner prevent. Gucci nouvelle collection Town teach station however.,2025-01-04,2025-01,TikTok,3754,427
Balenciaga,durabilité,neutre,Away space talk. Balenciaga durabilité Color assume enjoy carry.,2025-02-19,2025-02,Instagram,911,178
Chanel,inflation,positif,Customer the process if which. Chanel inflation Left up win fear.,2025-03-26,2025-03,TikTok,4795,919
Dior,inflation,négatif,None suffer fight leave. Dior inflation Fish time rest or.,2025-03-08,2025-03,TikTok,2049,428
Louis Vuitton,inflation,négatif,Get sort nation effect. Louis Vuitton inflation Box student season also character.,2025-01-08,2025-01,Instagram,19,294
Gucci,influenceurs,positif,Recognize manager rate oil. Gucci influenceurs Oil occur ok my water.,2025-03-15,2025-03,TikTok,270,852
Gucci,collab,neutre,Beyond sing. Gucci collab Paper somebody dinner campaign look.,2025-03-05,2025-03,Instagram,1683,151
Balenciaga,défilé,négatif,Phone reflect wish stage left. Balenciaga défilé Me share than good.,2025-03-23,2025-03,Instagram,2229,384
Balenciaga,nouvelle collection,neutre,World business cover. Balenciaga nouvelle collection Eye must.,2025-06-13,2025-06,TikTok,2070,638
Louis Vuitton,défilé,neutre,Assume law almost. Louis Vuitton défilé That right point section.,2025-03-27,2025-03,Instagram,3723,813
Gucci,collab,négatif,Send still strategy. Gucci collab Throughout everything beyond.,2025-01-04,2025-01,Instagram,1629,308
Chanel,défilé,négatif,Middle because amount. Chanel défilé Young idea company attack mean.,2025-03-02,2025-03,Instagram,330,336
Gucci,green fashion,positif,Control fear professor. Gucci green fashion Apply visit heavy while.,2025-03-04,2025-03,Instagram,1352,946
Gucci,green fashion,négatif,Sister year specific adult. Gucci green fashion Training life medical study.,2025-05-09,2025-05,TikTok,2386,746
Gucci,green fashion,négatif,Government management couple land. Gucci green fashion Receive chair.,2025-02-23,2025-02,Instagram,2842,892
Dior,durabilité,positif,Billion author where factor. Dior durabilité Ahead attack behind although nation.,2025-03-15,2025-03,TikTok,2834,375
Gucci,défilé,neutre,Personal do activity. Gucci défilé Full training.,2025-05-20,2025-05,Instagram,2004,8
Balenciaga,défilé,négatif,Lose word per. Balenciaga défilé Find special music line term.,2025-04-12,2025-04,Instagram,2968,341
Chanel,influenceurs,positif,Maybe responsibility study simply hand. Chanel influenceurs Available wait.,2025-03-12,2025-03,Instagram,2048,129
Louis Vuitton,durabilité,positif,Owner challenge early cost team. Louis Vuitton durabilité Leg ahead concern before.,2025-05-09,2025-05,Instagram,3500,776
Chanel,collab,positif,Near whether task begin worry. Chanel collab Move people vote.,2025-02-14,2025-02,TikTok,3687,669
Balenciaga,collab,positif,Art fear view partner feeling. Balenciaga collab Step act according billion.,2025-02-07,2025-02,TikTok,1128,352
Chanel,inflation,neutre,Give treat firm. Chanel inflation Still accept know may great.,2025-05-02,2025-05,Instagram,1614,358
Louis Vuitton,nouvelle collection,positif,Others coach treatment. Louis Vuitton nouvelle collection Not fire view assume.,2025-04-07,2025-04,Instagram,4037,517
Gucci,influenceurs,négatif,Rather available amount. Gucci influenceurs Each tend argue sign something.,2025-02-22,2025-02,TikTok,245,495
Dior,collab,neutre,Star stand energy near. Dior collab Use three we get.,2025-03-13,2025-03,Instagram,1979,86
Balenciaga,influenceurs,neutre,Southern people outside. Balenciaga influenceurs Natural happy tend evidence.,2025-01-09,2025-01,Instagram,4439,175
Louis Vuitton,durabilité,positif,Responsibility early recently. Louis Vuitton durabilité He the black federal organization.,2025-03-21,2025-03,Instagram,1918,802
Dior,défilé,neutre,Hospital blue so week. Dior défilé Several seven trade service.,2025-05-04,2025-05,TikTok,385,193
Louis Vuitton,green fashion,neutre,Accept military attention expert. Louis Vuitton green fashion Play against west.,2025-05-14,2025-05,TikTok,3540,311
Gucci,inflation,neutre,Address population sit risk. Gucci inflation East social eat.,2025-05-10,2025-05,TikTok,2645,119
Chanel,défilé,neutre,These trial sport war. Chanel défilé Home house offer.,2025-03-27,2025-03,Instagram,1580,218
Chanel,défilé,neutre,Else grow effect. Chanel défilé Interesting trade short.,2025-01-06,2025-01,Instagram,2570,427
Dior,durabilité,neutre,Energy especially treat loss. Dior durabilité But traditional husband.,2025-03-13,2025-03,TikTok,3401,970
Balenciaga,durabilité,positif,Own spend although particular. Balenciaga durabilité Above anything capital enter staff.,2025-03-17,2025-03,TikTok,2975,414
Balenciaga,durabilité,positif,Possible state level wall. Balenciaga durabilité Season buy everybody oil though.,2025-04-12,2025-04,TikTok,3653,114
Dior,nouvelle collection,négatif,Blood lawyer her man over. Dior nouvelle collection Be message.,2025-01-21,2025-01,TikTok,3860,978
Dior,défilé,neutre,Today book. Dior défilé Thank trial.,2025-03-06,2025-03,Instagram,882,145
Dior,défilé,négatif,Traditional yes card book firm. Dior défilé Young design front sport.,2025-04-05,2025-04,TikTok,1262,538
Gucci,défilé,négatif,Pretty program activity. Gucci défilé Source bill.,2025-06-14,2025-06,Instagram,1324,648
Dior,influenceurs,négatif,Federal administration industry. Dior influenceurs Create change what.,2025-05-17,2025-05,TikTok,4830,303
Chanel,inflation,positif,Authority set these expect. Chanel inflation Region base all.,2025-03-09,2025-03,Instagram,2908,744
Balenciaga,influenceurs,négatif,Page cause. Balenciaga influenceurs Nearly again visit agree.,2025-05-10,2025-05,TikTok,87,881
Balenciaga,durabilité,neutre,Bank hair common. Balenciaga durabilité Option join.,2025-04-16,2025-04,TikTok,2631,588
Gucci,inflation,négatif,Ahead serious culture. Gucci inflation Night culture happen upon white.,2025-01-08,2025-01,TikTok,4237,987
Balenciaga,green fashion,négatif,Travel behind increase age. Balenciaga green fashion Most certainly several against.,2025-05-06,2025-05,TikTok,610,840
Chanel,durabilité,positif,Executive nearly thing hour. Chanel durabilité Operation remain finish market.,2025-01-07,2025-01,Instagram,1075,345
Dior,inflation,positif,Decision end fall thing. Dior inflation On answer really.,2025-03-28,2025-03,TikTok,2146,814
Gucci,nouvelle collection,neutre,Decade rest need seek. Gucci nouvelle collection Up poor cultural explain.,2025-01-08,2025-01,Instagram,2459,964
Gucci,green fashion,positif,White general case great level. Gucci green fashion Fear them popular type.,2025-05-28,2025-05,Instagram,2353,801
Gucci,durabilité,négatif,Rather picture weight shake. Gucci durabilité Well and plant color.,2025-02-20,2025-02,Instagram,1873,1
Chanel,inflation,positif,Some recent teach people dog. Chanel inflation Organization great theory only present.,2025-04-02,2025-04,Instagram,1328,147
Dior,durabilité,négatif,Certain top friend. Dior durabilité Training myself argue indicate.,2025-06-03,2025-06,TikTok,4721,287
Dior,green fashion,neutre,Summer figure bill. Dior green fashion Peace statement service.,2025-06-12,2025-06,Instagram,3607,976
Dior,nouvelle collection,positif,Letter say child particularly time. Dior nouvelle collection Across apply source suddenly.,2025-02-06,2025-02,Instagram,3772,654
Balenciaga,collab,positif,Benefit who everybody couple. Balenciaga collab Hear audience card ball state.,2025-01-24,2025-01,Instagram,4680,53
Chanel,influenceurs,négatif,Cut buy head including. Chanel influenceurs Help box six phone wear.,2025-01-08,2025-01,TikTok,2200,304
Gucci,nouvelle collection,positif,School until center. Gucci nouvelle collection People year take image.,2025-01-10,2025-01,TikTok,1002,69
Gucci,influenceurs,neutre,International main hair make. Gucci influenceurs Nature season group shake understand.,2025-04-29,2025-04,TikTok,2722,361
Gucci,inflation,positif,Although war dream what. Gucci inflation Save sing.,2025-05-25,2025-05,TikTok,2202,602
Louis Vuitton,green fashion,positif,Into military write. Louis Vuitton green fashion Product pull great drive.,2025-01-03,2025-01,Instagram,1258,958
Gucci,influenceurs,positif,Bit whose perhaps show world. Gucci influenceurs Back agreement experience.,2025-05-03,2025-05,Instagram,3064,220
Dior,influenceurs,neutre,Century of fight. Dior influenceurs Table former.,2025-03-28,2025-03,TikTok,4608,962
Dior,inflation,neutre,Specific every without after. Dior inflation Else away service.,2025-02-05,2025-02,Instagram,4043,704
Balenciaga,green fashion,négatif,Member indeed then. Balenciaga green fashion The skill east late.,2025-04-08,2025-04,Instagram,2007,966
Balenciaga,green fashion,négatif,Game create. Balenciaga green fashion Media organization Mr.,2025-02-11,2025-02,Instagram,4926,575
Gucci,green fashion,négatif,Brother city speak more concern. Gucci green fashion Make way brother professor.,2025-03-16,2025-03,TikTok,3697,585
Dior,collab,positif,Easy attack north. Dior collab State television.,2025-05-09,2025-05,TikTok,2161,161
Chanel,green fashion,positif,Employee rule. Chanel green fashion Teacher especially.,2025-03-18,2025-03,Instagram,4028,681
Balenciaga,durabilité,neutre,Method raise relationship behavior. Balenciaga durabilité Food significant.,2025-03-08,2025-03,TikTok,3120,89
Chanel,collab,positif,Performance forget summer. Chanel collab Through interview protect member remember.,2025-06-06,2025-06,TikTok,1980,688
Gucci,green fashion,neutre,Collection region. Gucci green fashion Create toward feeling.,2025-01-16,2025-01,TikTok,207,781
Balenciaga,durabilité,neutre,Thousand continue audience human. Balenciaga durabilité Themselves truth international current.,2025-01-21,2025-01,TikTok,2636,585
Balenciaga,green fashion,positif,Pick according fill recently standard. Balenciaga green fashion Just guy institution role.,2025-01-20,2025-01,TikTok,1212,757
Chanel,green fashion,positif,Two factor ten friend pressure. Chanel green fashion Toward trip.,2025-02-02,2025-02,Instagram,2045,589
Dior,collab,négatif,Standard break beautiful somebody talk. Dior collab Also trip.,2025-01-13,2025-01,TikTok,487,159
Louis Vuitton,influenceurs,neutre,Stop card cultural executive. Louis Vuitton influenceurs You build agree data.,2025-03-18,2025-03,Instagram,1264,489
Chanel,green fashion,positif,Opportunity do drive. Chanel green fashion Shoulder marriage.,2025-05-31,2025-05,Instagram,932,971
Louis Vuitton,nouvelle collection,négatif,Standard the. Louis Vuitton nouvelle collection Mouth either term.,2025-01-18,2025-01,TikTok,429,324
Chanel,influenceurs,négatif,Edge approach. Chanel influenceurs Win agree but.,2025-02-20,2025-02,Instagram,2214,610
Louis Vuitton,durabilité,positif,Student program. Louis Vuitton durabilité Interview wait book bank theory.,2025-01-31,2025-01,Instagram,2607,381
Balenciaga,green fashion,négatif,Size their. Balenciaga green fashion Beyond recent.,2025-04-11,2025-04,Instagram,1130,102
Gucci,inflation,négatif,Make analysis resource. Gucci inflation Black know data however.,2025-06-13,2025-06,TikTok,3078,494
Chanel,défilé,négatif,Financial city quite. Chanel défilé Social detail hundred around.,2025-03-15,2025-03,TikTok,960,644
Gucci,défilé,positif,Direction point officer. Gucci défilé Practice man rest arm.,2025-04-27,2025-04,Instagram,2346,614
Gucci,inflation,positif,Behind notice throw station. Gucci inflation Plan hit reveal certain.,2025-02-21,2025-02,TikTok,2253,19
Balenciaga,influenceurs,neutre,Ability enjoy no allow. Balenciaga influenceurs Ten after.,2025-04-09,2025-04,TikTok,2655,454
Louis Vuitton,collab,positif,Arrive six board. Louis Vuitton collab Central contain public view much.,2025-03-31,2025-03,TikTok,1867,482
Balenciaga,green fashion,positif,Suddenly remember true work. Balenciaga green fashion Follow serve director agency better.,2025-01-03,2025-01,TikTok,4622,594
Chanel,défilé,neutre,Somebody nothing whose. Chanel défilé Republican budget specific want.,2025-06-11,2025-06,Instagram,1875,397
Gucci,nouvelle collection,neutre,Third morning couple network cultural. Gucci nouvelle collection Environmental professor great for.,2025-01-07,2025-01,Instagram,2922,279
Balenciaga,collab,neutre,Certain thank after. Balenciaga collab Sort Republican.,2025-03-13,2025-03,TikTok,2863,851
Gucci,inflation,négatif,Prove debate. Gucci inflation Real woman.,2025-05-10,2025-05,TikTok,4920,365
Dior,durabilité,neutre,Color artist mission. Dior durabilité Night image fund picture.,2025-04-10,2025-04,Instagram,3238,331
Gucci,green fashion,neutre,Officer attention most hotel. Gucci green fashion Possible pattern team bag couple.,2025-05-10,2025-05,Instagram,3729,641
Balenciaga,défilé,neutre,Source north skin evening toward. Balenciaga défilé Require deal adult.,2025-04-28,2025-04,TikTok,3238,344
Louis Vuitton,durabilité,positif,Keep either particular final. Louis Vuitton durabilité Maybe station industry oil so.,2025-06-05,2025-06,Instagram,2381,822
Chanel,green fashion,neutre,Degree majority eight music pass. Chanel green fashion Discussion back make.,2025-03-20,2025-03,TikTok,2901,455
Louis Vuitton,collab,positif,Phone final ahead turn. Louis Vuitton collab Majority laugh just thought.,2025-01-20,2025-01,TikTok,3766,601
Chanel,nouvelle collection,positif,Everybody strategy. Chanel nouvelle collection Difference six.,2025-06-09,2025-06,Instagram,4235,725
Chanel,défilé,négatif,Never administration himself. Chanel défilé Official news class.,2025-03-03,2025-03,Instagram,104,655
Gucci,influenceurs,neutre,We source however weight. Gucci influenceurs Research news within.,2025-04-08,2025-04,TikTok,2684,65
Gucci,green fashion,positif,Onto parent true sing some. Gucci green fashion Sense stock bed school.,2025-05-04,2025-05,TikTok,1965,76
Chanel,green fashion,neutre,Single say company. Chanel green fashion Single price may join.,2025-04-30,2025-04,Instagram,803,711
Dior,influenceurs,négatif,Suggest technology full can. Dior influenceurs Model authority help fish.,2025-01-31,2025-01,TikTok,1844,143
Louis Vuitton,influenceurs,positif,Type need sort Democrat again. Louis Vuitton influenceurs Brother each enter fish.,2025-03-19,2025-03,Instagram,2126,917
Dior,durabilité,neutre,Laugh base Mrs number. Dior durabilité Best value probably.,2025-03-17,2025-03,TikTok,4116,915
Balenciaga,influenceurs,positif,Ask style third rather. Balenciaga influenceurs Join image.,2025-05-27,2025-05,Instagram,3335,828
Gucci,défilé,neutre,Something term popular. Gucci défilé Perhaps marriage knowledge.,2025-05-08,2025-05,Instagram,2929,605
Chanel,influenceurs,positif,Message be herself money often. Chanel influenceurs Bed center choice.,2025-02-17,2025-02,Instagram,2607,473
Dior,durabilité,positif,Fact fire stuff too. Dior durabilité Blood field.,2025-02-22,2025-02,TikTok,3215,417
Louis Vuitton,défilé,positif,Party mission month six animal. Louis Vuitton défilé Fine west can.,2025-01-06,2025-01,TikTok,4817,305
Dior,nouvelle collection,neutre,Be attorney back. Dior nouvelle collection Treatment leader my area.,2025-04-30,2025-04,Instagram,824,736
Balenciaga,green fashion,négatif,Start cut. Balenciaga green fashion Store available idea believe.,2025-02-08,2025-02,TikTok,355,497
Louis Vuitton,inflation,neutre,Own agent card fact free. Louis Vuitton inflation National character.,2025-04-23,2025-04,Instagram,2359,291
Dior,influenceurs,négatif,Stuff one those. Dior influenceurs Treatment whatever.,2025-03-21,2025-03,Instagram,372,940
Dior,nouvelle collection,neutre,Watch worry image trade. Dior nouvelle collection Both source.,2025-04-30,2025-04,TikTok,2453,102
Gucci,inflation,positif,Someone light officer. Gucci inflation Traditional all plan behavior.,2025-01-17,2025-01,TikTok,2275,986
Balenciaga,défilé,négatif,Others toward sister. Balenciaga défilé Assume produce matter none evening.,2025-01-21,2025-01,Instagram,2198,267
Dior,nouvelle collection,négatif,Feeling alone imagine. Dior nouvelle collection Value peace.,2025-03-23,2025-03,TikTok,3015,867
Louis Vuitton,défilé,positif,Interest her TV live. Louis Vuitton défilé Able toward least a defense.,2025-03-22,2025-03,TikTok,3291,968
Balenciaga,nouvelle collection,positif,Talk medical. Balenciaga nouvelle collection Hope compare.,2025-06-10,2025-06,Instagram,994,622
Dior,nouvelle collection,positif,Billion war stock. Dior nouvelle collection Prevent color professional.,2025-02-25,2025-02,Instagram,1649,974
Chanel,inflation,neutre,Water personal impact trouble store. Chanel inflation And fish natural.,2025-02-12,2025-02,TikTok,837,842
Gucci,green fashion,positif,Smile concern develop several color. Gucci green fashion Raise approach research.,2025-02-12,2025-02,Instagram,2740,962
Balenciaga,inflation,neutre,Because law ask. Balenciaga inflation Continue present current include.,2025-03-13,2025-03,Instagram,3541,942
Gucci,défilé,négatif,Team industry. Gucci défilé Specific serious.,2025-01-26,2025-01,TikTok,4461,777
Dior,inflation,négatif,Statement audience writer. Dior inflation Still under chair might.,2025-02-09,2025-02,Instagram,2945,3
Dior,influenceurs,positif,Place adult himself pick. Dior influenceurs Speech hundred collection personal name.,2025-02-20,2025-02,Instagram,3886,85
Chanel,green fashion,négatif,Opportunity charge produce current produce. Chanel green fashion Easy account still standard while.,2025-01-02,2025-01,TikTok,136,794
Gucci,green fashion,neutre,Fire cut water. Gucci green fashion Employee project theory across.,2025-03-02,2025-03,TikTok,3187,328
Gucci,durabilité,neutre,Some crime institution measure. Gucci durabilité Mean need.,2025-01-02,2025-01,Instagram,3066,816
Louis Vuitton,inflation,positif,Word well similar politics. Louis Vuitton inflation Half my tax.,2025-05-03,2025-05,Instagram,613,450
Dior,green fashion,négatif,No positive behavior conference. Dior green fashion Black meeting position.,2025-03-02,2025-03,TikTok,3459,454
Louis Vuitton,durabilité,négatif,Among day sister. Louis Vuitton durabilité We yourself network.,2025-05-16,2025-05,TikTok,4156,924
Balenciaga,durabilité,positif,Wait run thing image down. Balenciaga durabilité Enjoy pressure simply fear.,2025-04-05,2025-04,TikTok,3543,629
Balenciaga,inflation,négatif,Yourself between dream man. Balenciaga inflation Thing training laugh.,2025-02-19,2025-02,TikTok,3377,221
Louis Vuitton,collab,neutre,All difficult. Louis Vuitton collab Property defense hundred see.,2025-01-04,2025-01,Instagram,3378,154
Dior,nouvelle collection,négatif,Heavy design whole ground husband. Dior nouvelle collection Effect purpose young.,2025-04-28,2025-04,TikTok,3807,665
Gucci,durabilité,positif,Plant property knowledge reflect. Gucci durabilité Natural item onto himself.,2025-01-17,2025-01,TikTok,1802,12
Chanel,green fashion,neutre,Middle social kitchen option police. Chanel green fashion Could seek.,2025-05-14,2025-05,Instagram,2871,133
Chanel,green fashion,négatif,Few stage authority lead. Chanel green fashion Exactly wonder some attorney.,2025-03-25,2025-03,TikTok,3486,994
Gucci,défilé,positif,Morning over. Gucci défilé Kind industry operation.,2025-05-14,2025-05,Instagram,3427,304
Balenciaga,durabilité,positif,Certain check give player. Balenciaga durabilité Two some area.,2025-05-06,2025-05,TikTok,1655,293
Chanel,green fashion,neutre,Laugh administration your. Chanel green fashion Spring eight break PM.,2025-01-28,2025-01,TikTok,1215,975
Louis Vuitton,nouvelle collection,négatif,Then hotel wrong. Louis Vuitton nouvelle collection Public win increase.,2025-05-01,2025-05,TikTok,3040,300
Louis Vuitton,collab,positif,Me fly thing sound. Louis Vuitton collab Myself too section break.,2025-02-25,2025-02,Instagram,2882,740
Gucci,défilé,neutre,Authority address great later performance. Gucci défilé Anything left at medical.,2025-05-11,2025-05,Instagram,3082,783
Chanel,inflation,neutre,Enjoy owner others police. Chanel inflation Short very each.,2025-01-28,2025-01,TikTok,1864,43
Dior,nouvelle collection,neutre,Choose glass. Dior nouvelle collection Activity plant.,2025-02-13,2025-02,Instagram,4031,944
Dior,inflation,négatif,Room item dog. Dior inflation What few knowledge in.,2025-05-03,2025-05,Instagram,4672,343
Gucci,collab,négatif,Toward information defense serve hotel. Gucci collab Find author eight manage.,2025-05-13,2025-05,Instagram,2718,326
Balenciaga,collab,négatif,Deep hospital election. Balenciaga collab From state.,2025-04-21,2025-04,Instagram,3512,814
Chanel,nouvelle collection,neutre,Town sign design walk. Chanel nouvelle collection Indicate themselves brother low.,2025-02-27,2025-02,Instagram,1342,498
Chanel,durabilité,positif,Player example staff. Chanel durabilité Challenge mouth also language there.,2025-05-11,2025-05,Instagram,211,364
Dior,durabilité,négatif,Season main front film. Dior durabilité Idea evidence.,2025-04-30,2025-04,TikTok,3517,891
Dior,durabilité,neutre,Best son. Dior durabilité Cup apply.,2025-03-29,2025-03,TikTok,4222,427
Dior,durabilité,positif,Bad lot thank. Dior durabilité Most new personal.,2025-06-07,2025-06,Instagram,584,21
Dior,influenceurs,négatif,Throw east site. Dior influenceurs Mouth finally should old it.,2025-02-20,2025-02,TikTok,546,407
Balenciaga,nouvelle collection,neutre,Family his. Balenciaga nouvelle collection Protect think whose teacher audience.,2025-05-04,2025-05,TikTok,1635,619
Gucci,durabilité,positif,Wish education wonder. Gucci durabilité Memory room sport.,2025-02-01,2025-02,TikTok,2132,336
Gucci,nouvelle collection,négatif,Wear relate agency figure. Gucci nouvelle collection Rest four modern else low.,2025-02-14,2025-02,TikTok,395,815
Dior,green fashion,neutre,Attack politics as source. Dior green fashion Feeling third.,2025-05-30,2025-05,Instagram,3291,117
Balenciaga,inflation,négatif,Spring ready. Balenciaga inflation Draw particularly cover plan.,2025-02-11,2025-02,TikTok,484,124
Dior,durabilité,positif,Structure soldier talk. Dior durabilité Remember really hard.,2025-02-26,2025-02,TikTok,427,399
Chanel,nouvelle collection,négatif,Material coach answer along recognize. Chanel nouvelle collection Couple cause very.,2025-02-02,2025-02,Instagram,3610,793
Chanel,durabilité,négatif,Pressure event well heart his. Chanel durabilité Decision image.,2025-05-15,2025-05,Instagram,964,804
Louis Vuitton,green fashion,neutre,Act catch sign less. Louis Vuitton green fashion Ten leave here.,2025-05-17,2025-05,TikTok,4981,715
Gucci,influenceurs,négatif,Nature recently product. Gucci influenceurs Decade nearly.,2025-03-17,2025-03,TikTok,4868,51
Gucci,influenceurs,neutre,Card subject. Gucci influenceurs Window relate during.,2025-01-21,2025-01,TikTok,1215,783
Chanel,inflation,positif,Learn effect message collection action. Chanel inflation Know send by.,2025-03-13,2025-03,TikTok,4769,324
Chanel,nouvelle collection,neutre,Share find wife card push. Chanel nouvelle collection Require necessary.,2025-05-01,2025-05,TikTok,4130,789
Dior,durabilité,positif,Carry various occur. Dior durabilité Compare show draw option small.,2025-01-02,2025-01,TikTok,2000,141
Gucci,défilé,neutre,Think identify line west service. Gucci défilé Involve work seek.,2025-04-23,2025-04,Instagram,4815,470
Gucci,défilé,neutre,Mind bag reach woman. Gucci défilé Must major I.,2025-03-22,2025-03,TikTok,3582,787
Chanel,inflation,neutre,Politics beyond two real economy. Chanel inflation Live two the throw after.,2025-02-06,2025-02,TikTok,4390,802
Chanel,défilé,négatif,Everybody eight several purpose. Chanel défilé Phone officer husband require result.,2025-01-06,2025-01,Instagram,4168,334
Dior,green fashion,neutre,I buy message appear. Dior green fashion Suggest quality meeting argue.,2025-01-22,2025-01,Instagram,4767,893
Gucci,influenceurs,positif,Yourself gas response trouble. Gucci influenceurs Successful maintain may can various.,2025-05-01,2025-05,Instagram,2723,964
Dior,durabilité,neutre,Enjoy measure wish author answer. Dior durabilité Picture remain decide low.,2025-02-27,2025-02,Instagram,2213,373
Balenciaga,inflation,négatif,Both impact land take. Balenciaga inflation Though possible company.,2025-02-27,2025-02,TikTok,3130,564
Gucci,durabilité,neutre,They human tell. Gucci durabilité Effect such cold relationship.,2025-04-22,2025-04,TikTok,976,494
Louis Vuitton,nouvelle collection,positif,End show man. Louis Vuitton nouvelle collection Best avoid short.,2025-04-10,2025-04,TikTok,4954,539
Chanel,influenceurs,neutre,Assume piece help fall give. Chanel influenceurs Up effect mean life pay.,2025-02-20,2025-02,TikTok,3442,669
Dior,collab,neutre,Husband answer seven company. Dior collab Next attack degree.,2025-02-21,2025-02,TikTok,698,751
Louis Vuitton,inflation,positif,Democrat again main large. Louis Vuitton inflation Hand nearly born.,2025-05-11,2025-05,TikTok,4253,156
Louis Vuitton,inflation,positif,Until would ready term. Louis Vuitton inflation Look letter part agent.,2025-05-26,2025-05,Instagram,3711,291
Dior,défilé,positif,Third drug financial. Dior défilé Weight modern medical figure today.,2025-02-05,2025-02,TikTok,351,648
Dior,durabilité,positif,Protect body mission stage them. Dior durabilité Who example.,2025-01-17,2025-01,Instagram,1734,144
Dior,green fashion,négatif,Hospital fact site Congress. Dior green fashion Cultural send relate involve.,2025-01-24,2025-01,Instagram,4432,106
Gucci,collab,positif,Ever practice. Gucci collab Themselves citizen couple.,2025-01-05,2025-01,TikTok,1802,420
Balenciaga,inflation,neutre,Energy deal week. Balenciaga inflation Talk act agency.,2025-03-17,2025-03,Instagram,1769,670
Chanel,collab,positif,Agency community. Chanel collab Also dog.,2025-01-26,2025-01,TikTok,3222,658
Louis Vuitton,nouvelle collection,négatif,World season heavy. Louis Vuitton nouvelle collection Trouble doctor enough environmental even.,2025-05-29,2025-05,Instagram,999,2
Balenciaga,influenceurs,positif,Throughout pattern house door mention. Balenciaga influenceurs Return Democrat method.,2025-01-30,2025-01,TikTok,2272,945
Gucci,nouvelle collection,positif,Dinner hand benefit. Gucci nouvelle collection Relate like hundred.,2025-01-02,2025-01,Instagram,2492,589
Chanel,inflation,neutre,Arrive minute magazine begin. Chanel inflation Peace action.,2025-03-30,2025-03,TikTok,961,644
Dior,inflation,négatif,Key open. Dior inflation Nation our many.,2025-05-30,2025-05,TikTok,732,90
Louis Vuitton,durabilité,négatif,Training place. Louis Vuitton durabilité Line pretty station they safe.,2025-04-04,2025-04,TikTok,3399,345
Dior,influenceurs,neutre,Age actually course ahead. Dior influenceurs Then political particularly.,2025-04-14,2025-04,TikTok,2089,350
Chanel,défilé,négatif,Start might whatever focus. Chanel défilé Common at go live support.,2025-05-24,2025-05,TikTok,2727,459
Dior,nouvelle collection,négatif,Single whole range yourself. Dior nouvelle collection Series real standard.,2025-05-16,2025-05,Instagram,2342,263
Gucci,influenceurs,négatif,Total add officer response. Gucci influenceurs Standard table set.,2025-01-24,2025-01,Instagram,3386,351
Gucci,durabilité,négatif,Less board weight beyond. Gucci durabilité Help particular including.,2025-02-28,2025-02,Instagram,4534,108
Chanel,inflation,négatif,Low task response. Chanel inflation When north policy moment plant.,2025-04-06,2025-04,TikTok,1510,586
Louis Vuitton,collab,négatif,Trial measure not. Louis Vuitton collab Because type officer seven.,2025-01-15,2025-01,Instagram,295,39
Balenciaga,green fashion,neutre,Many later court. Balenciaga green fashion Outside history night.,2025-03-28,2025-03,TikTok,3505,909
Dior,influenceurs,négatif,Simple several. Dior influenceurs Majority court visit effort.,2025-06-04,2025-06,TikTok,2075,159
Louis Vuitton,durabilité,neutre,Parent adult about. Louis Vuitton durabilité Walk song try.,2025-03-24,2025-03,Instagram,778,583
Gucci,green fashion,positif,Near movement share however rise. Gucci green fashion Political game ground worry but.,2025-01-08,2025-01,Instagram,3067,959
Balenciaga,durabilité,neutre,Land event to most. Balenciaga durabilité Half white police skin.,2025-02-08,2025-02,TikTok,4299,312
Louis Vuitton,nouvelle collection,neutre,Left position level expect. Louis Vuitton nouvelle collection Include true positive loss.,2025-04-14,2025-04,Instagram,2171,241
Gucci,durabilité,négatif,Something year. Gucci durabilité Dinner life.,2025-02-01,2025-02,TikTok,3303,938
